#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719661.1         -            846 3825at5820           -            620         0 1151.2  54.0   1   2   3.7e-98   2.4e-95  318.7  12.3     1   182     1   196     1   208 0.93 | transcript=PVPAM_070027500_t1 | gene=PVPAM_070027500 | organism=Plasmodium_vivax_PAM | gene_product=dynein intermediate chain, putative | transcript_product=dynein intermediate chain, putative | location=CASCJQ010000007:984477-988108(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719661.1         -            846 3825at5820           -            620         0 1151.2  54.0   2   2  1.7e-255  1.1e-252  838.4  33.7   188   620   389   846   359   846 0.96 | transcript=PVPAM_070027500_t1 | gene=PVPAM_070027500 | organism=Plasmodium_vivax_PAM | gene_product=dynein intermediate chain, putative | transcript_product=dynein intermediate chain, putative | location=CASCJQ010000007:984477-988108(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723469.1         -           1226 3825at5820           -            620   4.4e-17   60.2  47.3   1   5        10   6.5e+03  -26.7  30.9    70   150   229   309   155   439 0.47 | transcript=PVPAM_140039100_t1 | gene=PVPAM_140039100 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:1477856-1483037(+) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723469.1         -           1226 3825at5820           -            620   4.4e-17   60.2  47.3   2   5      0.46     3e+02   -2.0   4.2   188   242   577   637   549   657 0.63 | transcript=PVPAM_140039100_t1 | gene=PVPAM_140039100 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:1477856-1483037(+) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723469.1         -           1226 3825at5820           -            620   4.4e-17   60.2  47.3   3   5   8.7e-08   5.6e-05   20.2  29.6   172   414   620   897   575   908 0.72 | transcript=PVPAM_140039100_t1 | gene=PVPAM_140039100 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:1477856-1483037(+) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723469.1         -           1226 3825at5820           -            620   4.4e-17   60.2  47.3   4   5      0.12        80   -0.1   0.3   241   308   889   955   881   963 0.67 | transcript=PVPAM_140039100_t1 | gene=PVPAM_140039100 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:1477856-1483037(+) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723469.1         -           1226 3825at5820           -            620   4.4e-17   60.2  47.3   5   5     2e-18   1.3e-15   55.4   9.7   440   602  1041  1207  1012  1218 0.79 | transcript=PVPAM_140039100_t1 | gene=PVPAM_140039100 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:1477856-1483037(+) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723717.1         -            511 3825at5820           -            620   1.1e-06   25.9   2.0   1   3       1.5   9.6e+02   -3.6   2.6     6    24    15    33    12    59 0.85 | transcript=PVPAM_140064100_t1 | gene=PVPAM_140064100 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=CASCJQ010000014:2541864-2543718(+) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723717.1         -            511 3825at5820           -            620   1.1e-06   25.9   2.0   2   3       1.9   1.2e+03   -4.0   2.6   209   231    96   118    40   153 0.53 | transcript=PVPAM_140064100_t1 | gene=PVPAM_140064100 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=CASCJQ010000014:2541864-2543718(+) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723717.1         -            511 3825at5820           -            620   1.1e-06   25.9   2.0   3   3   1.7e-09   1.1e-06   25.9   2.0   429   589   287   452   272   458 0.72 | transcript=PVPAM_140064100_t1 | gene=PVPAM_140064100 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=CASCJQ010000014:2541864-2543718(+) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723554.1         -            430 3825at5820           -            620   5.7e-06   23.5   2.3   1   1   1.4e-08   8.8e-06   22.9   1.7   429   512   290   373   277   418 0.74 | transcript=PVPAM_140047800_t1 | gene=PVPAM_140047800 | organism=Plasmodium_vivax_PAM | gene_product=protein TSSC1, putative | transcript_product=protein TSSC1, putative | location=CASCJQ010000014:1818666-1819958(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
