#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9482531.1         -           3772 250at5820            -           2184         0 3465.1 264.5   1  18   0.00037       2.3    3.7   0.3    12    43   141   182   131   191 0.73 | transcript=PVW1_040018600_t1 | gene=PVW1_040018600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:583122-594440(-) | protein_length=3772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482531.1         -           3772 250at5820            -           2184         0 3465.1 264.5   2  18   8.1e-12   4.9e-08   29.1   1.3    59   113   328   397   309   403 0.74 | transcript=PVW1_040018600_t1 | gene=PVW1_040018600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:583122-594440(-) | protein_length=3772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482531.1         -           3772 250at5820            -           2184         0 3465.1 264.5   3  18   6.2e-35   3.8e-31  105.7   0.7   113   200   466   557   444   565 0.90 | transcript=PVW1_040018600_t1 | gene=PVW1_040018600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:583122-594440(-) | protein_length=3772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482531.1         -           3772 250at5820            -           2184         0 3465.1 264.5   4  18   1.2e-27   7.1e-24   81.6   6.8   187   257   580   656   554   664 0.80 | transcript=PVW1_040018600_t1 | gene=PVW1_040018600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:583122-594440(-) | protein_length=3772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482531.1         -           3772 250at5820            -           2184         0 3465.1 264.5   5  18  1.3e-109  7.9e-106  353.4  15.1   254   451   699   899   698   910 0.96 | transcript=PVW1_040018600_t1 | gene=PVW1_040018600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:583122-594440(-) | protein_length=3772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482531.1         -           3772 250at5820            -           2184         0 3465.1 264.5   6  18   1.7e-53   1.1e-49  167.3   6.5   446   545  1027  1131  1024  1133 0.94 | transcript=PVW1_040018600_t1 | gene=PVW1_040018600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:583122-594440(-) | protein_length=3772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482531.1         -           3772 250at5820            -           2184         0 3465.1 264.5   7  18   4.2e-49   2.6e-45  152.7   3.0   545   634  1228  1317  1225  1326 0.96 | transcript=PVW1_040018600_t1 | gene=PVW1_040018600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:583122-594440(-) | protein_length=3772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482531.1         -           3772 250at5820            -           2184         0 3465.1 264.5   8  18   2.9e-32   1.8e-28   96.9   0.3   640   722  1458  1550  1450  1553 0.87 | transcript=PVW1_040018600_t1 | gene=PVW1_040018600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:583122-594440(-) | protein_length=3772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482531.1         -           3772 250at5820            -           2184         0 3465.1 264.5   9  18   1.4e-36   8.4e-33  111.2   0.3   726   798  1678  1750  1664  1755 0.96 | transcript=PVW1_040018600_t1 | gene=PVW1_040018600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:583122-594440(-) | protein_length=3772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482531.1         -           3772 250at5820            -           2184         0 3465.1 264.5  10  18   3.3e-23     2e-19   66.8   0.2   804   848  1833  1877  1827  1882 0.92 | transcript=PVW1_040018600_t1 | gene=PVW1_040018600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:583122-594440(-) | protein_length=3772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482531.1         -           3772 250at5820            -           2184         0 3465.1 264.5  11  18     1e-89   6.3e-86  287.4   9.7   849  1020  2029  2226  2024  2238 0.87 | transcript=PVW1_040018600_t1 | gene=PVW1_040018600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:583122-594440(-) | protein_length=3772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
