#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71705.1           -            706 4451at5820           -            552    2e-275  913.3  35.2   1   2   1.5e-07   6.8e-05   20.3   2.4     1    27    20    46    20    52 0.90 WD repeat-containing protein 70, putative [Plasmodium vivax]
SCO71705.1           -            706 4451at5820           -            552    2e-275  913.3  35.2   2   2  2.4e-273  1.1e-270  897.7  25.1    26   551    75   703    58   704 0.94 WD repeat-containing protein 70, putative [Plasmodium vivax]
SCO73788.1           -           1399 4451at5820           -            552   7.7e-15   53.1  16.4   1   7     0.039        18    2.4   0.0   135   173    48    85    39    89 0.78 coatomer alpha subunit, putative [Plasmodium vivax]
SCO73788.1           -           1399 4451at5820           -            552   7.7e-15   53.1  16.4   2   7    0.0051       2.3    5.4   0.2   132   176    87   130    79   132 0.82 coatomer alpha subunit, putative [Plasmodium vivax]
SCO73788.1           -           1399 4451at5820           -            552   7.7e-15   53.1  16.4   3   7   2.6e-07   0.00012   19.5   0.1   135   169   132   165   127   179 0.87 coatomer alpha subunit, putative [Plasmodium vivax]
SCO73788.1           -           1399 4451at5820           -            552   7.7e-15   53.1  16.4   4   7   4.3e-06    0.0019   15.5   0.1   135   177   246   287   239   290 0.92 coatomer alpha subunit, putative [Plasmodium vivax]
SCO73788.1           -           1399 4451at5820           -            552   7.7e-15   53.1  16.4   5   7   8.2e-07   0.00037   17.9   0.1   133   173   288   328   285   336 0.92 coatomer alpha subunit, putative [Plasmodium vivax]
SCO73788.1           -           1399 4451at5820           -            552   7.7e-15   53.1  16.4   6   7      0.51   2.3e+02   -1.2   0.0    49    98   345   394   339   400 0.79 coatomer alpha subunit, putative [Plasmodium vivax]
SCO73788.1           -           1399 4451at5820           -            552   7.7e-15   53.1  16.4   7   7       0.7   3.1e+02   -1.7   0.7    95   135   597   637   522   684 0.70 coatomer alpha subunit, putative [Plasmodium vivax]
SCO71813.1           -           1013 4451at5820           -            552   1.3e-11   42.5  17.6   1   4   1.3e-08   5.7e-06   23.9   0.6   135   172   139   176    42   180 0.80 coatomer subunit beta, putative [Plasmodium vivax]
SCO71813.1           -           1013 4451at5820           -            552   1.3e-11   42.5  17.6   2   4   1.5e-06   0.00068   17.0   0.1   135   174   187   227   179   231 0.86 coatomer subunit beta, putative [Plasmodium vivax]
SCO71813.1           -           1013 4451at5820           -            552   1.3e-11   42.5  17.6   3   4    0.0015      0.69    7.1   1.4   135   170   231   265   225   307 0.81 coatomer subunit beta, putative [Plasmodium vivax]
SCO71813.1           -           1013 4451at5820           -            552   1.3e-11   42.5  17.6   4   4      0.28   1.3e+02   -0.4   0.7    84   157   295   369   282   403 0.56 coatomer subunit beta, putative [Plasmodium vivax]
