#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73958.1           -            644 4935at5820           -            497  1.3e-297  986.0  49.7   1   4       5.1   9.7e+02   -3.2   0.0     1    20     1    20     1    29 0.73 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
SCO73958.1           -            644 4935at5820           -            497  1.3e-297  986.0  49.7   2   4   1.3e-53   2.5e-51  173.6  10.3     8   116    40   155    35   164 0.91 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
SCO73958.1           -            644 4935at5820           -            497  1.3e-297  986.0  49.7   3   4    2e-102  3.8e-100  334.6   9.0   106   277   166   337   155   342 0.97 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
SCO73958.1           -            644 4935at5820           -            497  1.3e-297  986.0  49.7   4   4  5.2e-150  9.8e-148  491.6  12.9   277   497   422   643   418   643 0.99 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
SCO73788.1           -           1399 4935at5820           -            497   7.6e-25   86.2   6.7   1   3   6.6e-20   1.2e-17   62.4   0.2   325   494     6   173     1   177 0.95 coatomer alpha subunit, putative [Plasmodium vivax]
SCO73788.1           -           1399 4935at5820           -            497   7.6e-25   86.2   6.7   2   3   3.9e-08   7.5e-06   23.6   0.3   259   352   263   360   249   369 0.85 coatomer alpha subunit, putative [Plasmodium vivax]
SCO73788.1           -           1399 4935at5820           -            497   7.6e-25   86.2   6.7   3   3      0.16        31    1.7   0.1   307   365  1059  1118  1054  1148 0.75 coatomer alpha subunit, putative [Plasmodium vivax]
SCO72485.1           -            595 4935at5820           -            497   4.4e-19   67.2   4.3   1   2   2.6e-12     5e-10   37.3   1.1   229   362   260   399   244   400 0.83 pre-mRNA-splicing factor PRP46, putative [Plasmodium vivax]
SCO72485.1           -            595 4935at5820           -            497   4.4e-19   67.2   4.3   2   2   6.8e-13   1.3e-10   39.3   0.1   293   420   372   497   371   512 0.91 pre-mRNA-splicing factor PRP46, putative [Plasmodium vivax]
SCO75449.1           -            612 4935at5820           -            497   4.7e-19   67.1  26.3   1   3      0.74   1.4e+02   -0.4   2.4   214   263    93   142    78   181 0.73 pre-mRNA-processing factor 17, putative [Plasmodium vivax]
SCO75449.1           -            612 4935at5820           -            497   4.7e-19   67.1  26.3   2   3   1.4e-07   2.7e-05   21.7   2.0   279   406   316   444   287   453 0.84 pre-mRNA-processing factor 17, putative [Plasmodium vivax]
SCO75449.1           -            612 4935at5820           -            497   4.7e-19   67.1  26.3   3   3   1.5e-18   2.8e-16   57.9   8.9   226   398   428   611   424   612 0.85 pre-mRNA-processing factor 17, putative [Plasmodium vivax]
SCO73245.1           -            646 4935at5820           -            497   5.8e-18   63.5   6.1   1   2   1.5e-11   2.8e-09   34.9   0.2   367   494   362   487   354   490 0.93 WD repeat-containing protein, putative [Plasmodium vivax]
SCO73245.1           -            646 4935at5820           -            497   5.8e-18   63.5   6.1   2   2   5.1e-13   9.7e-11   39.7   1.3   283   404   488   608   485   627 0.79 WD repeat-containing protein, putative [Plasmodium vivax]
SCO72943.1           -            660 4935at5820           -            497     1e-16   59.4  14.9   1   3   2.6e-10   4.9e-08   30.8   1.3   238   387    75   224    40   233 0.84 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO72943.1           -            660 4935at5820           -            497     1e-16   59.4  14.9   2   3   4.6e-11   8.7e-09   33.2   4.6   260   487   341   568   337   574 0.81 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO72943.1           -            660 4935at5820           -            497     1e-16   59.4  14.9   3   3      0.71   1.4e+02   -0.4   0.0   423   442   640   659   620   660 0.61 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO71232.1           -            322 4935at5820           -            497   3.6e-16   57.6   0.9   1   2   1.2e-16   2.3e-14   51.6   0.3   325   487    68   231    34   240 0.90 receptor for activated c kinase, putative [Plasmodium vivax]
SCO71232.1           -            322 4935at5820           -            497   3.6e-16   57.6   0.9   2   2     0.025       4.8    4.4   0.0   288   358   243   318   239   321 0.75 receptor for activated c kinase, putative [Plasmodium vivax]
SCO74094.1           -            533 4935at5820           -            497   4.6e-14   50.7   4.9   1   2    0.0007      0.13    9.5   0.1   253   273   271   291   266   298 0.90 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO74094.1           -            533 4935at5820           -            497   4.6e-14   50.7   4.9   2   2   1.6e-13   3.1e-11   41.3   2.1   274   402   325   462   303   477 0.79 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO71271.1           -            324 4935at5820           -            497   5.3e-14   50.4   6.1   1   3   3.3e-09   6.2e-07   27.1   1.2   282   402    33   152    28   163 0.89 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO71271.1           -            324 4935at5820           -            497   5.3e-14   50.4   6.1   2   3     0.035       6.6    3.9   0.0   252   273   211   232   199   246 0.81 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO71271.1           -            324 4935at5820           -            497   5.3e-14   50.4   6.1   3   3     7e-07   0.00013   19.4   0.0   255   312   263   321   245   324 0.84 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO72425.1           -            498 4935at5820           -            497   8.1e-13   46.5  11.2   1   3       2.2   4.3e+02   -2.0   0.9    74   118   120   159    81   196 0.48 pre-mRNA-processing factor 19, putative [Plasmodium vivax]
SCO72425.1           -            498 4935at5820           -            497   8.1e-13   46.5  11.2   2   3   1.1e-06   0.00022   18.7   0.2   270   364   239   337   213   342 0.68 pre-mRNA-processing factor 19, putative [Plasmodium vivax]
SCO72425.1           -            498 4935at5820           -            497   8.1e-13   46.5  11.2   3   3   2.5e-11   4.9e-09   34.1   0.5   292   441   349   497   344   498 0.80 pre-mRNA-processing factor 19, putative [Plasmodium vivax]
SCO70851.1           -            327 4935at5820           -            497     1e-10   39.6   5.5   1   3      0.12        23    2.2   0.1   323   400     5    80     2    90 0.74 eukaryotic translation initiation factor 3 subunit I, putative [Plasmodium vivax]
