#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477183.1         -            435 13770at5820          -            338  5.2e-116  385.9 141.5   1   4   3.6e-44   3.1e-41  140.0  23.6     2   115    18   129    17   137 0.77 | transcript=PVW1_090045400_t1 | gene=PVW1_090045400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1800326-1801811(-) | protein_length=435 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477183.1         -            435 13770at5820          -            338  5.2e-116  385.9 141.5   2   4     0.056        48    1.3  41.4   258   332   133   209   127   216 0.39 | transcript=PVW1_090045400_t1 | gene=PVW1_090045400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1800326-1801811(-) | protein_length=435 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477183.1         -            435 13770at5820          -            338  5.2e-116  385.9 141.5   3   4   4.3e-79   3.7e-76  254.9  56.5   110   320   216   407   211   409 0.76 | transcript=PVW1_090045400_t1 | gene=PVW1_090045400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1800326-1801811(-) | protein_length=435 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477183.1         -            435 13770at5820          -            338  5.2e-116  385.9 141.5   4   4     0.016        14    3.1  31.5   252   302   383   433   378   435 0.60 | transcript=PVW1_090045400_t1 | gene=PVW1_090045400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1800326-1801811(-) | protein_length=435 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476510.1         -            345 13770at5820          -            338      0.12    9.8  26.1   1   2   9.8e-06    0.0085   13.7  20.3   281   326   116   164   109   171 0.45 | transcript=PVW1_090007200_t1 | gene=PVW1_090007200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:144387-145547(+) | protein_length=345 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476510.1         -            345 13770at5820          -            338      0.12    9.8  26.1   2   2      0.34   2.9e+02   -1.2   0.3   132   146   312   326   294   336 0.51 | transcript=PVW1_090007200_t1 | gene=PVW1_090007200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:144387-145547(+) | protein_length=345 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484026.1         -           1466 13770at5820          -            338      0.17    9.4  32.6   1   2   4.8e-05     0.042   11.4  28.5   262   335   190   261   152   269 0.45 | transcript=PVW1_020015100_t1 | gene=PVW1_020015100 | organism=Plasmodium_vivax_PvW1 | gene_product=SSD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6V3] | transcript_product=SSD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6V3] | location=CAJZCX010000015:466265-471074(+) | protein_length=1466 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484026.1         -           1466 13770at5820          -            338      0.17    9.4  32.6   2   2      0.83   7.2e+02   -2.5   0.1   257   264   283   290   271   330 0.52 | transcript=PVW1_020015100_t1 | gene=PVW1_020015100 | organism=Plasmodium_vivax_PvW1 | gene_product=SSD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6V3] | transcript_product=SSD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6V3] | location=CAJZCX010000015:466265-471074(+) | protein_length=1466 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478211.1         -            709 13770at5820          -            338      0.99    6.9  12.2   1   1    0.0021       1.9    6.0  12.2   291   331   292   331   282   341 0.31 | transcript=PVW1_110050500_t1 | gene=PVW1_110050500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1923296-1925425(-) | protein_length=709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471921.1         -            158 13770at5820          -            338       1.4    6.4  25.7   1   1    0.0019       1.7    6.1  25.7   279   336    91   157    69   158 0.49 | transcript=PVW1_140017900_t1 | gene=PVW1_140017900 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJQ0] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJQ0] | location=CAJZCX010000003:590167-590643(-) | protein_length=158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476907.1         -           1475 13770at5820          -            338       1.8    6.0  23.7   1   1    0.0059       5.1    4.6  23.7   296   329   826   859   801   868 0.49 | transcript=PVW1_090029300_t1 | gene=PVW1_090029300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1108671-1113098(-) | protein_length=1475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477760.1         -             82 13770at5820          -            338       5.4    4.5  17.8   1   1    0.0072       6.3    4.3  17.8   288   335    25    70    13    73 0.38 | transcript=PVW1_110025700_t1 | gene=PVW1_110025700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:900530-900778(+) | protein_length=82 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13770at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13770at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13770at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:21 2026
# [ok]
