#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_000945.1-p1      -            772 6055at5820           -            595  1.2e-226  752.1  58.0   1   2   6.7e-12   1.9e-09   34.9   0.1     1    95     1   148     1   150 0.77 | transcript=PVX_000945.1 | gene=PVX_000945 | organism=Plasmodium_vivax_Sal-1 | gene_product=apical sushi protein, putative | transcript_product=apical sushi protein, putative | location=Pv_Sal1_chr03:184691-187491(-) | protein_length=772 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000945.1-p1      -            772 6055at5820           -            595  1.2e-226  752.1  58.0   2   2  3.3e-215  9.1e-213  706.3  54.8    85   594   170   766   164   767 0.85 | transcript=PVX_000945.1 | gene=PVX_000945 | organism=Plasmodium_vivax_Sal-1 | gene_product=apical sushi protein, putative | transcript_product=apical sushi protein, putative | location=Pv_Sal1_chr03:184691-187491(-) | protein_length=772 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085295.1-p1      -           1484 6055at5820           -            595   0.00037   17.3  16.1   1   1   1.3e-06   0.00037   17.3  16.1   286   383   423   518   371   614 0.63 | transcript=PVX_085295.1 | gene=PVX_085295 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1074171-1078625(+) | protein_length=1484 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098023.1-p1      -            143 6055at5820           -            595     0.021   11.6  20.2   1   1   8.1e-05     0.022   11.5  20.2   271   359    41   128     3   137 0.48 | transcript=PVX_098023.1 | gene=PVX_098023 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:962975-963665(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113380.1-p1      -            709 6055at5820           -            595     0.056   10.1   4.5   1   1   0.00045      0.12    9.0   4.5   285   331   291   331   271   349 0.48 | transcript=PVX_113380.1 | gene=PVX_113380 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1854575-1856704(-) | protein_length=709 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116790.1-p1      -            589 6055at5820           -            595      0.11    9.1  30.7   1   1   0.00071       0.2    8.4  30.7   291   444   285   442   271   462 0.56 | transcript=PVX_116790.1 | gene=PVX_116790 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1298424-1300193(-) | protein_length=589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110955.1-p1      -            439 6055at5820           -            595      0.14    8.9  28.0   1   1   0.00078      0.21    8.2  28.0   260   390   247   384   224   415 0.43 | transcript=PVX_110955.1 | gene=PVX_110955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:826012-827331(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090910.1-p1      -            630 6055at5820           -            595      0.15    8.7  43.4   1   2   7.5e-05     0.021   11.6  13.4   286   377   206   289   196   352 0.50 | transcript=PVX_090910.1 | gene=PVX_090910 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:88362-90254(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090910.1-p1      -            630 6055at5820           -            595      0.15    8.7  43.4   2   2     0.033       9.1    2.9  22.0   285   373   385   469   380   497 0.42 | transcript=PVX_090910.1 | gene=PVX_090910 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:88362-90254(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079855.1-p1      -            667 6055at5820           -            595      0.24    8.1  22.3   1   1    0.0016      0.46    7.1  22.3   307   410    49   157    29   187 0.39 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000010.1-p1      -            380 6055at5820           -            595       0.5    7.0  13.2   1   1    0.0024      0.66    6.6  13.2   285   391   119   225   105   274 0.59 | transcript=PVX_000010.1 | gene=PVX_000010 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Pv_Sal1_chr03:962065-963346(-) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
