#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_040114635.1|PVP01_0105800|PVP01_0105800.1|unknown -           1051 2481at5820           -            813     1e-32  111.6   0.0   1   1   3.2e-35   1.5e-32  111.1   0.0     9   105    59   164    52   170 0.89 -
GCA_040114635.1|PVP01_1445300|PVP01_1445300.1|unknown -            717 2481at5820           -            813   2.2e-16   57.6   7.0   1   3     0.017       7.8    2.9   0.0    21    62   276   315   257   344 0.86 -
GCA_040114635.1|PVP01_1445300|PVP01_1445300.1|unknown -            717 2481at5820           -            813   2.2e-16   57.6   7.0   2   3    0.0063       2.8    4.3   0.0   330   397   451   514   441   547 0.83 -
GCA_040114635.1|PVP01_1445300|PVP01_1445300.1|unknown -            717 2481at5820           -            813   2.2e-16   57.6   7.0   3   3   1.8e-16     8e-14   49.1   3.9   522   613   570   662   543   674 0.88 -
GCA_040114635.1|PVP01_1238100|PVP01_1238100.1|unknown -            398 2481at5820           -            813   2.9e-16   57.2   0.4   1   2     0.037        17    1.8   0.0   322   371   133   178   101   230 0.78 -
GCA_040114635.1|PVP01_1238100|PVP01_1238100.1|unknown -            398 2481at5820           -            813   2.9e-16   57.2   0.4   2   2   7.2e-18   3.2e-15   53.8   0.1   525   612   261   349   236   368 0.92 -
GCA_040114635.1|PVP01_0531200|PVP01_0531200.1|unknown -            388 2481at5820           -            813   1.7e-14   51.4   1.7   1   2   0.00052      0.23    7.9   0.1   317   377   120   177    86   192 0.78 -
GCA_040114635.1|PVP01_0531200|PVP01_0531200.1|unknown -            388 2481at5820           -            813   1.7e-14   51.4   1.7   2   2   1.5e-14   6.7e-12   42.8   0.2   525   613   253   342   204   372 0.85 -
GCA_040114635.1|PVP01_0415000|PVP01_0415000.1|unknown -            473 2481at5820           -            813   4.6e-14   49.9   1.3   1   2      0.13        58   -0.0   0.0    21    61    56    96    34   148 0.80 -
GCA_040114635.1|PVP01_0415000|PVP01_0415000.1|unknown -            473 2481at5820           -            813   4.6e-14   49.9   1.3   2   2   6.2e-16   2.8e-13   47.4   1.1   480   615   299   424   246   453 0.78 -
GCA_040114635.1|PVP01_0406600|PVP01_0406600.1|unknown -            533 2481at5820           -            813   1.2e-13   48.5   8.6   1   3   0.00086      0.39    7.2   0.0    21    62   123   164   105   172 0.87 -
GCA_040114635.1|PVP01_0406600|PVP01_0406600.1|unknown -            533 2481at5820           -            813   1.2e-13   48.5   8.6   2   3   1.5e-05    0.0069   13.0   0.2   332   378   246   289   233   337 0.78 -
GCA_040114635.1|PVP01_0406600|PVP01_0406600.1|unknown -            533 2481at5820           -            813   1.2e-13   48.5   8.6   3   3   1.9e-10   8.4e-08   29.2   3.3   529   650   368   489   354   498 0.85 -
GCA_040114635.1|PVP01_1429700|PVP01_1429700.1|unknown -            923 2481at5820           -            813   1.1e-12   45.3   9.0   1   3     0.053        24    1.3   0.0   123   146   382   405   346   414 0.78 -
GCA_040114635.1|PVP01_1429700|PVP01_1429700.1|unknown -            923 2481at5820           -            813   1.1e-12   45.3   9.0   2   3     0.081        36    0.7   0.0   228   264   417   453   411   472 0.77 -
GCA_040114635.1|PVP01_1429700|PVP01_1429700.1|unknown -            923 2481at5820           -            813   1.1e-12   45.3   9.0   3   3   2.5e-15   1.1e-12   45.3   9.0   491   654   595   749   542   767 0.87 -
