#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_097755.1-p1      -            800 3060at5820           -            709         0 1354.9  75.9   1   1         0         0 1353.2  75.9     1   709    10   796    10   796 0.95 | transcript=PVX_097755.1 | gene=PVX_097755 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin B, putative | transcript_product=myosin B, putative | location=Pv_Sal1_chr10:1190129-1193892(+) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083030.1-p1      -            817 3060at5820           -            709  5.2e-138  459.7  15.3   1   1  1.6e-139  1.4e-136  455.0  15.3    10   706    32   814    26   817 0.82 | transcript=PVX_083030.1 | gene=PVX_083030 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=Pv_Sal1_chr12:502044-504785(-) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082400.1-p1      -           1978 3060at5820           -            709   3.6e-67  225.6   8.1   1   2   3.3e-40   3.1e-37  126.6   0.0    54   249    50   273    28   284 0.80 | transcript=PVX_082400.1 | gene=PVX_082400 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin C, putative | transcript_product=myosin C, putative | location=Pv_Sal1_chr12:949287-955759(+) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082400.1-p1      -           1978 3060at5820           -            709   3.6e-67  225.6   8.1   2   2   4.1e-31   3.8e-28   96.6   5.5   261   601   357   743   348   756 0.75 | transcript=PVX_082400.1 | gene=PVX_082400 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin C, putative | transcript_product=myosin C, putative | location=Pv_Sal1_chr12:949287-955759(+) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 3060at5820           -            709   1.8e-49  167.1  57.2   1   7   1.5e-11   1.4e-08   31.9   4.9    79   168   108   224    45   235 0.70 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 3060at5820           -            709   1.8e-49  167.1  57.2   2   7   5.5e-23     5e-20   69.7   0.2   178   274   345   440   333   449 0.92 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 3060at5820           -            709   1.8e-49  167.1  57.2   3   7    0.0086       7.9    3.0   0.2   285   335   542   600   537   612 0.60 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 3060at5820           -            709   1.8e-49  167.1  57.2   4   7    0.0016       1.5    5.4   0.0   359   389   653   683   626   692 0.77 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 3060at5820           -            709   1.8e-49  167.1  57.2   5   7   8.2e-16   7.6e-13   46.0   6.4   393   497   745   858   739   862 0.85 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 3060at5820           -            709   1.8e-49  167.1  57.2   6   7   8.8e-07   0.00081   16.2   1.5   473   536   855   918   850   923 0.92 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 3060at5820           -            709   1.8e-49  167.1  57.2   7   7   9.8e-08     9e-05   19.3   9.7   546   689  1020  1183  1010  1192 0.70 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
