#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71843.1           -            520 7500at5820           -            277  1.6e-162  538.1  35.8   1   4   2.9e-58   2.3e-55  186.7   3.1     1    93    83   175    83   178 0.99 transporter, putative [Plasmodium vivax]
SCO71843.1           -            520 7500at5820           -            277  1.6e-162  538.1  35.8   2   4   8.6e-60   6.8e-57  191.7   7.7    92   195   209   316   198   320 0.93 transporter, putative [Plasmodium vivax]
SCO71843.1           -            520 7500at5820           -            277  1.6e-162  538.1  35.8   3   4   1.1e-53   8.7e-51  171.7   8.7   187   277   401   491   394   491 0.96 transporter, putative [Plasmodium vivax]
SCO71843.1           -            520 7500at5820           -            277  1.6e-162  538.1  35.8   4   4      0.48   3.8e+02   -1.0   0.0    66    84   491   509   490   514 0.90 transporter, putative [Plasmodium vivax]
SCO71738.1           -            301 7500at5820           -            277   2.2e-20   72.0   6.8   1   3   5.8e-21   4.5e-18   64.4   2.5    15   185    16   209     5   219 0.79 ADP/ATP transporter on adenylate translocase, putative [Plasmodium vivax]
SCO71738.1           -            301 7500at5820           -            277   2.2e-20   72.0   6.8   2   3    0.0018       1.4    7.0   0.2   103   242   216   248   204   273 0.58 ADP/ATP transporter on adenylate translocase, putative [Plasmodium vivax]
SCO71738.1           -            301 7500at5820           -            277   2.2e-20   72.0   6.8   3   3     0.048        38    2.3   0.0    43    70   257   283   246   300 0.77 ADP/ATP transporter on adenylate translocase, putative [Plasmodium vivax]
SCO75656.1           -            259 7500at5820           -            277   3.1e-13   48.5   5.0   1   2     0.018        14    3.7   0.0   102   129     6    33     1    71 0.63 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO75656.1           -            259 7500at5820           -            277   3.1e-13   48.5   5.0   2   2   4.3e-15   3.3e-12   45.1   2.7    12   163    88   247    74   258 0.84 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO71806.1           -           1119 7500at5820           -            277   7.1e-06   24.4  12.6   1   4   1.7e-05     0.014   13.6   0.0    77   132    13    67     9   197 0.81 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO71806.1           -           1119 7500at5820           -            277   7.1e-06   24.4  12.6   2   4      0.16   1.3e+02    0.6   0.3   142   182   666   706   652   713 0.85 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO71806.1           -           1119 7500at5820           -            277   7.1e-06   24.4  12.6   3   4      0.16   1.2e+02    0.6   0.6   102   182   750   830   735   835 0.58 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO71806.1           -           1119 7500at5820           -            277   7.1e-06   24.4  12.6   4   4   9.8e-06    0.0077   14.4   0.3   103   179  1031  1112   985  1118 0.81 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO74600.1           -            323 7500at5820           -            277   0.00022   19.5   6.7   1   2   4.7e-06    0.0037   15.4   1.4    96   240    25   160    15   183 0.66 mitochondrial phosphate carrier protein, putative [Plasmodium vivax]
SCO74600.1           -            323 7500at5820           -            277   0.00022   19.5   6.7   2   2    0.0022       1.7    6.7   0.3    82   177   213   308   194   312 0.75 mitochondrial phosphate carrier protein, putative [Plasmodium vivax]
SCO71260.1           -            318 7500at5820           -            277   0.00029   19.1   1.9   1   3   0.00055      0.43    8.7   0.0   103   166    35   104    20   136 0.70 dicarboxylate/tricarboxylate carrier, putative [Plasmodium vivax]
SCO71260.1           -            318 7500at5820           -            277   0.00029   19.1   1.9   2   3   0.00076       0.6    8.2   0.6   208   262   226   278   123   296 0.88 dicarboxylate/tricarboxylate carrier, putative [Plasmodium vivax]
SCO71260.1           -            318 7500at5820           -            277   0.00029   19.1   1.9   3   3   0.00055      0.43    8.7   0.5    12    83   228   308   222   317 0.52 dicarboxylate/tricarboxylate carrier, putative [Plasmodium vivax]
SCO75485.1           -            306 7500at5820           -            277    0.0036   15.5   1.8   1   3   1.4e-05     0.011   13.9   0.0   116   157    19    60     6    78 0.88 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO75485.1           -            306 7500at5820           -            277    0.0036   15.5   1.8   2   3      0.36   2.8e+02   -0.6   0.1   102   154    93   145    59   154 0.61 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO75485.1           -            306 7500at5820           -            277    0.0036   15.5   1.8   3   3      0.48   3.8e+02   -1.0   0.0   226   240   241   255   226   289 0.55 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO70796.1           -            380 7500at5820           -            277    0.0036   15.5  46.1   1   4   0.00082      0.65    8.1   1.8     7    48     7    48     1    60 0.78 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO70796.1           -            380 7500at5820           -            277    0.0036   15.5  46.1   2   4      0.69   5.4e+02   -1.5   4.7   131   185    57   108    49   113 0.68 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO70796.1           -            380 7500at5820           -            277    0.0036   15.5  46.1   3   4   2.6e-05     0.021   13.0  18.3     6   192   111   310   107   333 0.57 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO70796.1           -            380 7500at5820           -            277    0.0036   15.5  46.1   4   4   8.2e-05     0.065   11.4   2.6    40    85   333   378   313   380 0.82 mitochondrial carrier protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7500at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7500at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7500at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:59:35 2026
# [ok]
