#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0940900.1-p1   -            444 13770at5820          -            338  1.7e-116  387.6 143.6   1   4   3.7e-44   4.8e-41  139.5  24.6     2   123    18   133    17   138 0.77 | transcript=PVP01_0940900.1 | gene=PVP01_0940900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1792940-1794452(-) | protein_length=444 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940900.1-p1   -            444 13770at5820          -            338  1.7e-116  387.6 143.6   2   4     0.084   1.1e+02    0.3  43.4   253   330   128   209   123   217 0.42 | transcript=PVP01_0940900.1 | gene=PVP01_0940900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1792940-1794452(-) | protein_length=444 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940900.1-p1   -            444 13770at5820          -            338  1.7e-116  387.6 143.6   3   4   7.6e-80   9.9e-77  256.8  67.9    96   320   202   416   200   421 0.72 | transcript=PVP01_0940900.1 | gene=PVP01_0940900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1792940-1794452(-) | protein_length=444 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940900.1-p1   -            444 13770at5820          -            338  1.7e-116  387.6 143.6   4   4    0.0049       6.4    4.3  30.2   253   302   393   442   387   444 0.60 | transcript=PVP01_0940900.1 | gene=PVP01_0940900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1792940-1794452(-) | protein_length=444 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901800.1-p1   -            335 13770at5820          -            338      0.18    9.5  26.7   1   2   9.7e-06     0.013   13.2  20.9   281   326   116   164   109   171 0.45 | transcript=PVP01_0901800.1 | gene=PVP01_0901800 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:113304-114434(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901800.1-p1   -            335 13770at5820          -            338      0.18    9.5  26.7   2   2      0.23     3e+02   -1.2   0.3   132   146   302   316   284   326 0.51 | transcript=PVP01_0901800.1 | gene=PVP01_0901800 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:113304-114434(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207400.1-p1   -           1478 13770at5820          -            338      0.18    9.4  32.6   1   2   3.5e-05     0.046   11.4  28.5   262   335   190   261   152   269 0.45 | transcript=PVP01_0207400.1 | gene=PVP01_0207400 | organism=Plasmodium_vivax_P01 | gene_product=Niemann-Pick type C1-related protein, putative | transcript_product=Niemann-Pick type C1-related protein, putative | location=PvP01_02_v2:316611-321456(+) | protein_length=1478 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207400.1-p1   -           1478 13770at5820          -            338      0.18    9.4  32.6   2   2      0.54   7.1e+02   -2.4   0.1   257   264   283   290   271   340 0.55 | transcript=PVP01_0207400.1 | gene=PVP01_0207400 | organism=Plasmodium_vivax_P01 | gene_product=Niemann-Pick type C1-related protein, putative | transcript_product=Niemann-Pick type C1-related protein, putative | location=PvP01_02_v2:316611-321456(+) | protein_length=1478 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144600.1-p1   -            709 13770at5820          -            338       1.1    6.9  12.2   1   1    0.0015         2    6.0  12.2   291   331   292   331   282   341 0.31 | transcript=PVP01_1144600.1 | gene=PVP01_1144600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:1893939-1896068(-) | protein_length=709 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1411700.1-p1   -            158 13770at5820          -            338       1.7    6.2  25.1   1   1    0.0016       2.1    5.9  25.1   279   336    91   157    69   158 0.48 | transcript=PVP01_1411700.1 | gene=PVP01_1411700 | organism=Plasmodium_vivax_P01 | gene_product=PhIL1-interacting candidate PIC5, putative | transcript_product=PhIL1-interacting candidate PIC5, putative | location=PvP01_14_v2:528162-528638(-) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
