#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_040114635.1|PVP01_1301300|PVP01_1301300.1|unknown -            869 3504at5820           -            686  2.5e-165  550.1  50.1   1   1  2.6e-166  6.9e-164  545.4  50.1    12   323   141   488   122   498 0.90 -
GCA_040114635.1|PVP01_1029600|PVP01_1029600.1|unknown -            719 3504at5820           -            686   1.8e-29  101.1   9.6   1   3    0.0045       1.2    5.9   0.0    69    97   163   191   131   195 0.82 -
GCA_040114635.1|PVP01_1029600|PVP01_1029600.1|unknown -            719 3504at5820           -            686   1.8e-29  101.1   9.6   2   3      0.38     1e+02   -0.5   0.3   195   268   295   368   289   387 0.71 -
GCA_040114635.1|PVP01_1029600|PVP01_1029600.1|unknown -            719 3504at5820           -            686   1.8e-29  101.1   9.6   3   3   4.7e-30   1.2e-27   95.1   5.6   349   581   396   633   347   641 0.84 -
GCA_040114635.1|PVP01_1238100|PVP01_1238100.1|unknown -            398 3504at5820           -            686   3.2e-21   73.9   1.1   1   2     0.025       6.6    3.4   0.0    76   130    68   120    43   158 0.78 -
GCA_040114635.1|PVP01_1238100|PVP01_1238100.1|unknown -            398 3504at5820           -            686   3.2e-21   73.9   1.1   2   2   3.3e-22   8.6e-20   69.2   0.2   349   470   260   384   238   391 0.86 -
GCA_040114635.1|PVP01_1445300|PVP01_1445300.1|unknown -            717 3504at5820           -            686   1.2e-20   72.0   0.4   1   2     0.037       9.8    2.9   0.0    67    96   313   342   257   348 0.76 -
GCA_040114635.1|PVP01_1445300|PVP01_1445300.1|unknown -            717 3504at5820           -            686   1.2e-20   72.0   0.4   2   2   1.6e-21   4.2e-19   66.9   0.3   328   459   552   682   540   690 0.88 -
GCA_040114635.1|PVP01_1261100|PVP01_1261100.1|unknown -            528 3504at5820           -            686   2.1e-20   71.2   0.1   1   2     0.082        22    1.7   0.0    69    95   151   177   145   203 0.82 -
GCA_040114635.1|PVP01_1261100|PVP01_1261100.1|unknown -            528 3504at5820           -            686   2.1e-20   71.2   0.1   2   2   1.5e-21     4e-19   67.0   0.1   336   471   348   481   331   500 0.82 -
GCA_040114635.1|PVP01_1429700|PVP01_1429700.1|unknown -            923 3504at5820           -            686   8.8e-20   69.1  11.0   1   2   0.00035     0.092    9.6   1.9    33    96   345   406   315   499 0.62 -
GCA_040114635.1|PVP01_1429700|PVP01_1429700.1|unknown -            923 3504at5820           -            686   8.8e-20   69.1  11.0   2   2   8.9e-21   2.3e-18   64.4   2.0   325   452   600   725   560   746 0.81 -
GCA_040114635.1|PVP01_0531200|PVP01_0531200.1|unknown -            388 3504at5820           -            686   6.8e-18   62.9   1.2   1   2      0.54   1.4e+02   -1.0   0.1    68   132    52   114    47   139 0.65 -
GCA_040114635.1|PVP01_0531200|PVP01_0531200.1|unknown -            388 3504at5820           -            686   6.8e-18   62.9   1.2   2   2   5.2e-20   1.4e-17   61.9   0.1   349   471   252   375   229   381 0.90 -
GCA_040114635.1|PVP01_0406600|PVP01_0406600.1|unknown -            533 3504at5820           -            686   2.1e-17   61.3   1.6   1   2    0.0012      0.32    7.8   0.0    68   135   163   230   101   257 0.73 -
GCA_040114635.1|PVP01_0406600|PVP01_0406600.1|unknown -            533 3504at5820           -            686   2.1e-17   61.3   1.6   2   2   5.1e-17   1.3e-14   52.0   1.1   353   472   367   486   303   523 0.88 -
GCA_040114635.1|PVP01_1408200|PVP01_1408200.1|unknown -            626 3504at5820           -            686   1.3e-15   55.3  19.1   1   3   2.9e-09   7.5e-07   26.4   6.8    36   151   154   276   146   305 0.78 -
GCA_040114635.1|PVP01_1408200|PVP01_1408200.1|unknown -            626 3504at5820           -            686   1.3e-15   55.3  19.1   2   3       0.7   1.8e+02   -1.3   0.6   191   262   292   363   286   382 0.64 -
GCA_040114635.1|PVP01_1408200|PVP01_1408200.1|unknown -            626 3504at5820           -            686   1.3e-15   55.3  19.1   3   3   7.6e-12     2e-09   34.9   2.5   370   453   423   506   316   521 0.82 -
GCA_040114635.1|PVP01_1261800|PVP01_1261800.1|unknown -            791 3504at5820           -            686   3.4e-15   54.0  19.6   1   2   2.2e-07   5.7e-05   20.2   9.1    67   225   277   447   267   470 0.78 -
GCA_040114635.1|PVP01_1261800|PVP01_1261800.1|unknown -            791 3504at5820           -            686   3.4e-15   54.0  19.6   2   2   1.5e-12     4e-10   37.2   2.7   380   517   602   744   498   748 0.76 -
GCA_040114635.1|PVP01_0415000|PVP01_0415000.1|unknown -            473 3504at5820           -            686   1.6e-14   51.8   0.5   1   2      0.13        34    1.1   0.0    70    94    98   122    91   133 0.83 -
GCA_040114635.1|PVP01_0415000|PVP01_0415000.1|unknown -            473 3504at5820           -            686   1.6e-14   51.8   0.5   2   2   5.8e-16   1.5e-13   48.5   0.3   347   455   330   439   234   458 0.86 -
GCA_040114635.1|PVP01_0907400|PVP01_0907400.1|unknown -           1318 3504at5820           -            686     1e-13   49.1   7.8   1   2    0.0001     0.027   11.4   1.5    26    93   140   204   113   212 0.77 -
GCA_040114635.1|PVP01_0907400|PVP01_0907400.1|unknown -           1318 3504at5820           -            686     1e-13   49.1   7.8   2   2   1.3e-13   3.3e-11   40.8   0.6   347   444   870   968   852   972 0.88 -
GCA_040114635.1|PVP01_0818600|PVP01_0818600.1|unknown -            761 3504at5820           -            686   2.6e-13   47.7   7.3   1   3    0.0037      0.97    6.2   0.1    35    97   261   320   252   328 0.78 -
GCA_040114635.1|PVP01_0818600|PVP01_0818600.1|unknown -            761 3504at5820           -            686   2.6e-13   47.7   7.3   2   3     1e-13   2.6e-11   41.1   3.6   355   459   549   658   539   713 0.82 -
GCA_040114635.1|PVP01_0818600|PVP01_0818600.1|unknown -            761 3504at5820           -            686   2.6e-13   47.7   7.3   3   3      0.95   2.5e+02   -1.8   0.3   244   293   672   718   660   739 0.65 -
GCA_040114635.1|PVP01_1458900|PVP01_1458900.1|unknown -            850 3504at5820           -            686   7.7e-11   39.6  22.6   1   3   8.9e-08   2.3e-05   21.5   5.6    61   257   124   305    76   308 0.63 -
GCA_040114635.1|PVP01_1458900|PVP01_1458900.1|unknown -            850 3504at5820           -            686   7.7e-11   39.6  22.6   2   3   4.1e-08   1.1e-05   22.6   4.3   411   516   516   630   511   646 0.70 -
GCA_040114635.1|PVP01_1458900|PVP01_1458900.1|unknown -            850 3504at5820           -            686   7.7e-11   39.6  22.6   3   3      0.26        69    0.1   2.1   177   230   628   680   620   683 0.80 -
GCA_040114635.1|PVP01_1029800|PVP01_1029800.1|unknown -            522 3504at5820           -            686   9.2e-10   36.0  19.9   1   2     0.072        19    1.9   8.2    39   117   103   183    87   310 0.74 -
GCA_040114635.1|PVP01_1029800|PVP01_1029800.1|unknown -            522 3504at5820           -            686   9.2e-10   36.0  19.9   2   2   1.3e-11   3.3e-09   34.2   9.9   286   449   294   455   232   489 0.67 -
GCA_040114635.1|PVP01_0317000|PVP01_0317000.1|unknown -            837 3504at5820           -            686   1.8e-09   35.0   0.0   1   1     1e-11   2.7e-09   34.5   0.0   397   451   614   668   580   695 0.80 -
GCA_040114635.1|PVP01_0304400|PVP01_0304400.1|unknown -            548 3504at5820           -            686   1.5e-07   28.7  14.7   1   2      0.23        61    0.3   9.8    34   177    94   240    56   263 0.62 -
GCA_040114635.1|PVP01_0304400|PVP01_0304400.1|unknown -            548 3504at5820           -            686   1.5e-07   28.7  14.7   2   2   5.8e-10   1.5e-07   28.7  14.7   259   466   272   486   258   505 0.77 -
GCA_040114635.1|PVP01_0717000|PVP01_0717000.1|unknown -            731 3504at5820           -            686   3.2e-07   27.6   5.3   1   3      0.58   1.5e+02   -1.1   1.6    65    89    54    79    45   136 0.78 -
GCA_040114635.1|PVP01_0717000|PVP01_0717000.1|unknown -            731 3504at5820           -            686   3.2e-07   27.6   5.3   2   3         1   2.7e+02   -1.9   0.9    11    58   117   164    99   177 0.66 -
GCA_040114635.1|PVP01_0717000|PVP01_0717000.1|unknown -            731 3504at5820           -            686   3.2e-07   27.6   5.3   3   3   1.2e-09   3.2e-07   27.6   5.3   333   474   356   498   345   527 0.75 -
GCA_040114635.1|PVP01_1319500|PVP01_1319500.1|unknown -           1255 3504at5820           -            686   4.5e-07   27.1   8.1   1   2      0.26        69    0.1   0.0    69    99    64    94    48   108 0.80 -
