#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO75463.1           -            430 8306at5820           -            317  8.7e-162  536.3  14.4   1   2   3.4e-36   1.1e-33  115.4   0.4     1    82     8   100     8   112 0.88 protein TSSC1, putative [Plasmodium vivax]
SCO75463.1           -            430 8306at5820           -            317  8.7e-162  536.3  14.4   2   2  1.9e-130  6.4e-128  425.0   8.1    88   317   191   430   180   430 0.94 protein TSSC1, putative [Plasmodium vivax]
SCO75623.1           -            503 8306at5820           -            317   5.3e-12   44.2   8.0   1   4      0.75   2.5e+02   -0.7   0.0    38    55   146   161   140   201 0.79 periodic tryptophan protein 1, putative [Plasmodium vivax]
SCO75623.1           -            503 8306at5820           -            317   5.3e-12   44.2   8.0   2   4   1.2e-12     4e-10   38.0   1.7   178   255   278   354   266   364 0.90 periodic tryptophan protein 1, putative [Plasmodium vivax]
SCO75623.1           -            503 8306at5820           -            317   5.3e-12   44.2   8.0   3   4     0.056        19    3.0   0.1   194   217   379   402   351   416 0.66 periodic tryptophan protein 1, putative [Plasmodium vivax]
SCO75623.1           -            503 8306at5820           -            317   5.3e-12   44.2   8.0   4   4    0.0056       1.8    6.3   0.1   173   210   413   446   378   452 0.55 periodic tryptophan protein 1, putative [Plasmodium vivax]
SCO74749.1           -            509 8306at5820           -            317   3.2e-10   38.3   5.3   1   3      0.71   2.3e+02   -0.7   1.5    61    95   140   170   113   188 0.55 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO74749.1           -            509 8306at5820           -            317   3.2e-10   38.3   5.3   2   3       1.6   5.3e+02   -1.8   0.0   194   210   205   221   177   226 0.83 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO74749.1           -            509 8306at5820           -            317   3.2e-10   38.3   5.3   3   3   9.7e-13   3.2e-10   38.3   5.3   149   298   330   482   317   496 0.80 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO73958.1           -            644 8306at5820           -            317     8e-10   37.0   1.5   1   4       3.2     1e+03   -2.8   0.2   101   101    97    97    43   141 0.51 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
SCO73958.1           -            644 8306at5820           -            317     8e-10   37.0   1.5   2   4    0.0082       2.7    5.7   1.8   100   190   204   298   180   321 0.69 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
