#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_100940.1-p1      -           5494 71at5820             -           4311         0 6564.5 1040.1   1  16  7.7e-305  4.3e-301 1000.5 137.2     1   559     5   612     5   617 0.94 | transcript=PVX_100940.1 | gene=PVX_100940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2505123-2521607(+) | protein_length=5494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100940.1-p1      -           5494 71at5820             -           4311         0 6564.5 1040.1   2  16   1.9e-89     1e-85  285.6  25.2   557   728   714   887   705   890 0.96 | transcript=PVX_100940.1 | gene=PVX_100940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2505123-2521607(+) | protein_length=5494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100940.1-p1      -           5494 71at5820             -           4311         0 6564.5 1040.1   3  16         0         0 1866.4 208.9   724  1721   916  1968   902  1973 0.95 | transcript=PVX_100940.1 | gene=PVX_100940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2505123-2521607(+) | protein_length=5494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100940.1-p1      -           5494 71at5820             -           4311         0 6564.5 1040.1   4  16  3.9e-161  2.2e-157  523.5 108.0  1719  2107  2037  2501  2033  2514 0.90 | transcript=PVX_100940.1 | gene=PVX_100940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2505123-2521607(+) | protein_length=5494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100940.1-p1      -           5494 71at5820             -           4311         0 6564.5 1040.1   5  16  4.5e-129  2.5e-125  417.1  76.1  2109  2468  2545  2967  2541  2978 0.84 | transcript=PVX_100940.1 | gene=PVX_100940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2505123-2521607(+) | protein_length=5494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100940.1-p1      -           5494 71at5820             -           4311         0 6564.5 1040.1   6  16   1.1e-22   5.9e-19   64.0   5.8  2448  2508  2995  3055  2983  3068 0.91 | transcript=PVX_100940.1 | gene=PVX_100940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2505123-2521607(+) | protein_length=5494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100940.1-p1      -           5494 71at5820             -           4311         0 6564.5 1040.1   7  16   2.1e-12   1.1e-08   29.9   0.0  2502  2545  3095  3138  3070  3143 0.87 | transcript=PVX_100940.1 | gene=PVX_100940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2505123-2521607(+) | protein_length=5494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100940.1-p1      -           5494 71at5820             -           4311         0 6564.5 1040.1   8  16   2.1e-10   1.2e-06   23.2   0.8  2546  2586  3176  3216  3172  3223 0.93 | transcript=PVX_100940.1 | gene=PVX_100940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2505123-2521607(+) | protein_length=5494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100940.1-p1      -           5494 71at5820             -           4311         0 6564.5 1040.1   9  16   1.6e-62   8.7e-59  196.2  48.2  2559  2748  3221  3417  3215  3456 0.84 | transcript=PVX_100940.1 | gene=PVX_100940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2505123-2521607(+) | protein_length=5494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100940.1-p1      -           5494 71at5820             -           4311         0 6564.5 1040.1  10  16   4.9e-55   2.7e-51  171.3  40.9  2734  2967  3462  3720  3452  3735 0.68 | transcript=PVX_100940.1 | gene=PVX_100940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2505123-2521607(+) | protein_length=5494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100940.1-p1      -           5494 71at5820             -           4311         0 6564.5 1040.1  11  16  2.4e-143  1.3e-139  464.5 110.6  2839  3307  3651  4167  3645  4177 0.85 | transcript=PVX_100940.1 | gene=PVX_100940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2505123-2521607(+) | protein_length=5494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100940.1-p1      -           5494 71at5820             -           4311         0 6564.5 1040.1  12  16   1.3e-53     7e-50  166.6  16.0  3300  3442  4232  4381  4228  4389 0.92 | transcript=PVX_100940.1 | gene=PVX_100940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2505123-2521607(+) | protein_length=5494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100940.1-p1      -           5494 71at5820             -           4311         0 6564.5 1040.1  13  16   4.7e-80   2.6e-76  254.4  49.5  3432  3659  4407  4663  4388  4667 0.89 | transcript=PVX_100940.1 | gene=PVX_100940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2505123-2521607(+) | protein_length=5494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100940.1-p1      -           5494 71at5820             -           4311         0 6564.5 1040.1  14  16   1.5e-67   8.2e-64  212.9  25.0  3656  3787  4727  4858  4723  4863 0.98 | transcript=PVX_100940.1 | gene=PVX_100940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2505123-2521607(+) | protein_length=5494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100940.1-p1      -           5494 71at5820             -           4311         0 6564.5 1040.1  15  16   2.2e-68   1.2e-64  215.6  21.1  3785  3903  4890  5008  4882  5012 0.96 | transcript=PVX_100940.1 | gene=PVX_100940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2505123-2521607(+) | protein_length=5494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100940.1-p1      -           5494 71at5820             -           4311         0 6564.5 1040.1  16  16  4.2e-226  2.3e-222  739.1  73.5  3893  4311  5049  5494  5041  5494 0.96 | transcript=PVX_100940.1 | gene=PVX_100940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2505123-2521607(+) | protein_length=5494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/71at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/71at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/71at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:39 2026
# [ok]
